时间,交易类型,平均价,当前交易价,交易数量,交易金额,手续费,USDT,COIN,Net_Value
2018-02-13T14:33:00+00:00,In,0.03604,0.03603,0.0363,13774,499.9962,1.0,4499.00381,13774,4999.0000076
2018-02-13T14:39:00+00:00,In,0.03608,0.03604,0.0364,6179,224.9156,0.4498,4273.63838,19953,4999.9275764
2018-02-13T14:51:00+00:00,In,0.03621,0.03605,0.0364,5870,213.668,0.4273,4059.54304,25823,4999.500240400001
2018-02-13T15:03:00+00:00,Out,0.0363,0.03607,0.036,25823,929.628,1.8593,4987.31178,0,4987.311784400001
2018-02-13T16:21:00+00:00,In,0.03594,0.03592,0.0372,13406,498.7032,0.9974,4487.61118,13406,4986.314378000001
2018-02-13T16:27:00+00:00,In,0.03629,0.03598,0.0375,5983,224.3625,0.4487,4262.79995,19389,4989.887453
2018-02-13T16:57:00+00:00,In,0.03701,0.0363,0.0373,5714,213.1322,0.4263,4049.24149,25103,4985.583388600001
2018-02-13T17:03:00+00:00,In,0.03708,0.03642,0.0378,5356,202.4568,0.4049,3846.37978,30459,4997.729975000001
2018-02-13T17:09:00+00:00,In,0.0374,0.03659,0.0385,4995,192.3075,0.3846,3653.68766,35454,5018.666660000001
2018-02-13T17:15:00+00:00,In,0.03771,0.03675,0.0383,4769,182.6527,0.3653,3470.66965,40223,5011.2105546
2018-02-13T17:21:00+00:00,In,0.03798,0.03692,0.0382,4542,173.5044,0.347,3296.81825,44765,5006.8412458
2018-02-13T17:27:00+00:00,In,0.03808,0.03708,0.0385,4281,164.8185,0.3296,3131.67011,49046,5019.941108800001
2018-02-13T17:57:00+00:00,Out,0.03791,0.03765,0.0376,49046,1844.1296,3.6883,4972.11145,0,4972.111449600001
2018-02-13T20:27:00+00:00,In,0.03743,0.03742,0.0377,13188,497.1876,0.9944,4473.92947,13188,4971.117074400001
2018-02-13T20:39:00+00:00,Out,0.03751,0.03742,0.0374,13188,493.2312,0.9865,4966.17421,0,4966.174212000001
2018-02-13T23:57:00+00:00,In,0.03666,0.03658,0.0369,13458,496.6002,0.9932,4468.58081,13458,4965.181011600001
2018-02-14T00:03:00+00:00,In,0.0367,0.03659,0.0371,6022,223.4162,0.4468,4244.71778,19480,4967.425779200001
2018-02-14T00:09:00+00:00,In,0.03678,0.03661,0.037,5736,212.232,0.4245,4032.06132,25216,4965.053315200001
2018-02-14T00:21:00+00:00,Out,0.03684,0.03665,0.0366,25216,922.9056,1.8458,4953.1211,0,4953.121104000001
2018-02-14T00:51:00+00:00,In,0.03695,0.03681,0.0372,13314,495.2808,0.9906,4456.84974,13314,4952.1305424
2018-02-14T00:57:00+00:00,In,0.03705,0.03686,0.0373,5974,222.8302,0.4457,4233.57388,19288,4953.0162820000005
2018-02-14T01:03:00+00:00,In,0.03715,0.0369,0.0375,5644,211.65,0.4233,4021.50058,24932,4956.450582
2018-02-14T01:51:00+00:00,Out,0.03717,0.03714,0.0369,24932,919.9908,1.84,4939.6514,0,4939.651400400001
2018-02-14T03:33:00+00:00,In,0.03718,0.03706,0.0374,13207,493.9418,0.9879,4444.72172,13207,4938.663516800001
2018-02-14T03:51:00+00:00,Out,0.0372,0.03711,0.0371,13207,489.9797,0.98,4933.72146,0,4933.721457400001
2018-02-14T04:15:00+00:00,In,0.03732,0.03723,0.0376,13121,493.3496,0.9867,4439.38516,13121,4932.7347582
2018-02-14T04:21:00+00:00,In,0.03742,0.03727,0.0377,5887,221.9399,0.4439,4217.00138,19008,4933.6029784
2018-02-14T05:33:00+00:00,Out,0.03767,0.03766,0.0376,19008,714.7008,1.4294,4930.27278,0,4930.2727768
2018-02-14T06:33:00+00:00,In,0.03776,0.03774,0.038,12974,493.012,0.986,4436.27475,12974,4929.2867528
2018-02-14T06:51:00+00:00,Out,0.03784,0.03776,0.0377,12974,489.1198,0.9782,4924.41631,0,4924.4163132
2018-02-14T07:39:00+00:00,In,0.03781,0.03777,0.0382,12891,492.4362,0.9849,4430.99524,12891,4923.4314408
2018-02-14T08:15:00+00:00,In,0.03801,0.03784,0.0382,5799,221.5218,0.443,4209.0304,18690,4922.9883972
2018-02-14T08:39:00+00:00,Out,0.03795,0.03791,0.0378,18690,706.482,1.413,4914.09943,0,4914.0994332
2018-02-14T10:51:00+00:00,In,0.03757,0.03744,0.0379,12965,491.3735,0.9827,4421.74319,12965,4913.1166862
2018-02-14T10:57:00+00:00,In,0.03766,0.03748,0.0379,5833,221.0707,0.4421,4200.23034,18798,4912.6745448
2018-02-14T11:21:00+00:00,In,0.03795,0.03762,0.0382,5497,209.9854,0.42,3989.82497,24295,4917.8939740000005
2018-02-14T11:27:00+00:00,In,0.03817,0.03774,0.0395,5050,199.475,0.3989,3789.95102,29345,4949.0785240000005
2018-02-14T11:33:00+00:00,In,0.0386,0.03793,0.0401,4725,189.4725,0.3789,3600.09958,34070,4966.306579
2018-02-14T11:39:00+00:00,In,0.03918,0.03817,0.0411,4379,179.9769,0.36,3419.76273,38449,5000.0166252
2018-02-14T11:45:00+00:00,In,0.03975,0.03839,0.0407,4201,170.9807,0.342,3248.44006,42650,4984.2950638
2018-02-14T11:51:00+00:00,In,0.0403,0.03861,0.041,3961,162.401,0.3248,3085.71426,46611,4996.7652618
2018-02-14T12:15:00+00:00,In,0.04084,0.03946,0.0414,3726,154.2564,0.3085,2931.14935,50337,5015.101149
2018-02-14T12:21:00+00:00,In,0.04094,0.03969,0.0413,3548,146.5324,0.2931,2784.32388,53885,5009.7743842
2018-02-14T12:27:00+00:00,In,0.04102,0.03992,0.0415,3354,139.191,0.2784,2644.8545,57239,5020.2730022
2018-02-14T12:57:00+00:00,Out,0.04102,0.04087,0.0408,57239,2335.3512,4.6707,4975.535,0,4975.5349998
2018-02-14T13:21:00+00:00,In,0.04104,0.04104,0.0419,11874,497.5206,0.995,4477.01936,11874,4974.5399586
2018-02-14T13:27:00+00:00,In,0.04121,0.04108,0.0415,5393,223.8095,0.4476,4252.76224,17267,4969.342739600001
2018-02-14T13:45:00+00:00,Out,0.04137,0.04116,0.0411,17267,709.6737,1.4193,4961.01659,0,4961.016592200001
2018-02-14T15:33:00+00:00,In,0.04006,0.04004,0.0406,12219,496.0914,0.9922,4463.93301,12219,4960.024409400001
2018-02-14T15:39:00+00:00,In,0.04026,0.04002,0.0408,5470,223.176,0.4464,4240.31066,17689,4962.0218574
2018-02-14T16:21:00+00:00,In,0.04052,0.04021,0.0408,5196,211.9968,0.424,4027.88986,22885,4961.597863800001
2018-02-14T16:39:00+00:00,Out,0.04037,0.04034,0.0402,22885,919.977,1.84,4946.02691,0,4946.026909800001
2018-02-14T18:33:00+00:00,In,0.04008,0.04005,0.0403,12273,494.6019,0.9892,4450.43581,12273,4945.037706
2018-02-14T18:45:00+00:00,Out,0.04014,0.04001,0.04,12273,490.92,0.9818,4940.37397,0,4940.373966
2018-02-14T19:09:00+00:00,In,0.04004,0.04002,0.0403,12258,493.9974,0.988,4445.38857,12258,4939.3859712
2018-02-14T19:15:00+00:00,In,0.04009,0.04006,0.0403,5515,222.2545,0.4445,4222.68956,17773,4938.9414622
2018-02-14T19:27:00+00:00,Out,0.04013,0.04008,0.0399,17773,709.1427,1.4183,4930.41398,0,4930.4139768000005
2018-02-14T22:09:00+00:00,In,0.03988,0.03987,0.0401,12295,493.0295,0.9861,4436.39842,12295,4929.4279178
2018-02-14T22:33:00+00:00,In,0.0401,0.03989,0.0404,5490,221.796,0.4436,4214.15883,17785,4932.6728258
2018-02-14T22:39:00+00:00,In,0.04016,0.03991,0.0404,5215,210.686,0.4214,4003.05145,23000,4932.2514538000005
2018-02-14T22:51:00+00:00,In,0.04027,0.03999,0.0405,4942,200.151,0.4003,3802.50015,27942,4934.151151800001
2018-02-14T22:57:00+00:00,In,0.04038,0.04004,0.0406,4682,190.0892,0.3802,3612.03077,32624,4936.5651734
2018-02-14T23:39:00+00:00,In,0.04049,0.04037,0.0407,4437,180.5859,0.3612,3431.0837,37061,4939.466401600001
2018-02-14T23:45:00+00:00,In,0.04062,0.04043,0.0411,4174,171.5514,0.3431,3259.1892,41235,4953.947698800001
2018-02-14T23:51:00+00:00,In,0.04072,0.0405,0.0412,3955,162.946,0.3259,3095.91731,45190,4957.7453068
2018-02-14T23:57:00+00:00,In,0.04088,0.04058,0.0411,3766,154.7826,0.3096,2940.82514,48956,4952.9167416
2018-02-15T00:03:00+00:00,Out,0.04097,0.04063,0.0406,48956,1987.6136,3.9752,4924.46351,0,4924.4635144
2018-02-15T02:21:00+00:00,In,0.03999,0.03997,0.0404,12189,492.4356,0.9849,4431.04304,12189,4923.4786432
2018-02-15T02:27:00+00:00,In,0.04011,0.04001,0.0404,5483,221.5132,0.443,4209.08682,17672,4923.035616800001
2018-02-15T02:33:00+00:00,In,0.04025,0.04004,0.0406,5183,210.4298,0.4209,3998.23616,22855,4926.1491572
2018-02-15T02:39:00+00:00,In,0.04041,0.04009,0.0407,4911,199.8777,0.3998,3797.9587,27766,4928.0349018000015
2018-02-15T02:45:00+00:00,In,0.04057,0.04014,0.0409,4642,189.8578,0.3797,3607.72119,32408,4933.208386200002
2018-02-15T02:51:00+00:00,In,0.04068,0.04022,0.0411,4388,180.3468,0.3607,3427.01369,36796,4939.329292600001
2018-02-15T02:57:00+00:00,In,0.04081,0.04029,0.0411,4169,171.3459,0.3427,3255.3251,40965,4938.986600800002
2018-02-15T03:21:00+00:00,In,0.04108,0.04056,0.0414,3931,162.7434,0.3255,3092.25621,44896,4950.950614000001
2018-02-15T04:21:00+00:00,Out,0.04117,0.04112,0.0411,44896,1845.2256,3.6905,4933.79136,0,4933.7913628000015
2018-02-15T04:39:00+00:00,In,0.04124,0.04117,0.0417,11831,493.3527,0.9867,4439.45196,11831,4932.804657400002
2018-02-15T04:45:00+00:00,In,0.04132,0.04121,0.0416,5335,221.936,0.4439,4217.07209,17166,4931.177685400001
2018-02-15T05:09:00+00:00,Out,0.04147,0.04128,0.0412,17166,707.2392,1.4145,4922.89681,0,4922.896807000001
2018-02-15T07:15:00+00:00,In,0.04107,0.04104,0.0413,11919,492.2547,0.9845,4429.6576,11919,4921.912297600002
2018-02-15T07:21:00+00:00,In,0.04114,0.04106,0.0414,5349,221.4486,0.4429,4207.7661,17268,4922.661300400001
2018-02-15T08:21:00+00:00,Out,0.04146,0.0413,0.0413,17268,713.1684,1.4263,4919.50816,0,4919.508163600001
2018-02-15T09:15:00+00:00,In,0.04147,0.04143,0.0417,11797,491.9349,0.9839,4426.58939,11797,4918.524293800002
2018-02-15T09:51:00+00:00,Out,0.04149,0.04145,0.0412,11797,486.0364,0.9721,4911.65372,0,4911.6537210000015
2018-02-15T12:45:00+00:00,In,0.03953,0.03943,0.0399,12309,491.1291,0.9823,4419.54236,12309,4910.671462800002
2018-02-15T12:51:00+00:00,In,0.03964,0.03942,0.0399,5538,220.9662,0.4419,4198.13423,17847,4910.229530400002
2018-02-15T13:27:00+00:00,In,0.03986,0.03962,0.0402,5221,209.8842,0.4198,3987.83026,23068,4915.163862000002
2018-02-15T14:09:00+00:00,In,0.04002,0.03993,0.0403,4947,199.3641,0.3987,3788.06743,28015,4917.071933800002
2018-02-15T14:33:00+00:00,In,0.04027,0.04005,0.0405,4676,189.378,0.3788,3598.31068,32691,4922.296177800002
2018-02-15T15:03:00+00:00,In,0.04044,0.04023,0.0408,4409,179.8872,0.3598,3418.0637,37100,4931.743703400001
2018-02-15T15:51:00+00:00,Out,0.04063,0.04051,0.0404,37100,1498.84,2.9977,4913.90602,0,4913.906023400002
2018-02-15T17:21:00+00:00,In,0.04052,0.04041,0.0409,12014,491.3726,0.9827,4421.55068,12014,4912.923278200002
2018-02-15T17:27:00+00:00,In,0.04062,0.04044,0.041,5392,221.072,0.4421,4200.03653,17406,4913.682534200002
