时间,交易类型,平均价,当前交易价,交易数量,交易金额,手续费,USDT,COIN,Net_Value
2018-02-13T14:39:00+00:00,In,0.03608,0.03606,0.0364,13736,499.9904,1.0,4499.00962,13736,4999.0000192
2018-02-13T14:51:00+00:00,In,0.03618,0.03607,0.0364,6179,224.9156,0.4498,4273.64419,19915,4998.550188
2018-02-13T15:03:00+00:00,Out,0.03627,0.03608,0.036,19915,716.94,1.4339,4989.15031,0,4989.150308
2018-02-13T16:27:00+00:00,In,0.03618,0.03604,0.0375,13304,498.9,0.9978,4489.25251,13304,4988.152508
2018-02-13T16:33:00+00:00,In,0.03642,0.03607,0.0367,6116,224.4572,0.4489,4264.34639,19420,4977.060393600001
2018-02-13T16:51:00+00:00,In,0.03687,0.03614,0.0371,5747,213.2137,0.4264,4050.70627,25167,4984.401966200001
2018-02-13T16:57:00+00:00,In,0.03706,0.03623,0.0373,5429,202.5017,0.405,3847.79956,30596,4989.030362800001
2018-02-13T17:03:00+00:00,In,0.03712,0.03634,0.0378,5089,192.3642,0.3847,3655.05063,35685,5003.9436344000005
2018-02-13T17:09:00+00:00,In,0.03728,0.03648,0.0385,4746,182.721,0.3654,3471.96419,40431,5028.5576924000015
2018-02-13T17:15:00+00:00,In,0.03753,0.03661,0.0383,4532,173.5756,0.3472,3298.04144,44963,5020.124341200001
2018-02-13T17:21:00+00:00,In,0.03779,0.03674,0.0382,4316,164.8712,0.3297,3132.8405,49279,5015.298298800001
2018-02-13T17:27:00+00:00,In,0.03799,0.03688,0.0385,4068,156.618,0.3132,2975.90926,53347,5029.768762800001
2018-02-13T18:03:00+00:00,Out,0.03784,0.03758,0.0375,53347,2000.5125,4.001,4972.42074,0,4972.420737800001
2018-02-13T23:57:00+00:00,In,0.03667,0.0366,0.0369,13475,497.2275,0.9945,4474.19878,13475,4971.426282800001
2018-02-14T00:03:00+00:00,In,0.03671,0.03661,0.0371,6029,223.6759,0.4474,4250.07553,19504,4973.673931000001
2018-02-14T00:09:00+00:00,In,0.03674,0.03663,0.037,5743,212.491,0.425,4037.15955,25247,4971.298549000001
2018-02-14T00:21:00+00:00,Out,0.03682,0.03663,0.0366,25247,924.0402,1.8481,4959.35167,0,4959.351668600001
2018-02-14T00:51:00+00:00,In,0.03692,0.03677,0.0372,13331,495.9132,0.9918,4462.44664,13331,4958.359842200001
2018-02-14T00:57:00+00:00,In,0.03701,0.03682,0.0373,5981,223.0913,0.4462,4238.90916,19312,4959.2467596000015
2018-02-14T01:03:00+00:00,In,0.03711,0.03687,0.0375,5651,211.9125,0.4238,4026.57283,24963,4962.685334600002
2018-02-14T01:09:00+00:00,In,0.03718,0.03691,0.0374,5383,201.3242,0.4026,3824.84599,30346,4959.786386200001
2018-02-14T01:51:00+00:00,Out,0.03719,0.0371,0.0369,30346,1119.7674,2.2395,4942.37385,0,4942.3738514000015
2018-02-14T03:33:00+00:00,In,0.03721,0.03705,0.0374,13214,494.2036,0.9884,4447.18184,13214,4941.385444200001
2018-02-14T04:15:00+00:00,In,0.0373,0.03718,0.0376,5913,222.3288,0.4447,4224.40839,19127,4943.583586600001
2018-02-14T04:21:00+00:00,In,0.03737,0.03722,0.0377,5602,211.1954,0.4224,4012.7906,24729,4945.073895800001
2018-02-14T04:27:00+00:00,In,0.03746,0.03727,0.0377,5322,200.6394,0.4013,3811.74992,30051,4944.672617000001
2018-02-14T05:39:00+00:00,In,0.03769,0.03763,0.0379,5028,190.5612,0.3811,3620.80759,35079,4950.301694600001
2018-02-14T06:03:00+00:00,Out,0.03774,0.03772,0.0376,35079,1318.9704,2.6379,4937.14005,0,4937.140053800001
2018-02-14T06:33:00+00:00,In,0.03776,0.03773,0.038,12992,493.696,0.9874,4442.45666,12992,4936.152661800001
2018-02-14T06:39:00+00:00,In,0.03779,0.03775,0.038,5845,222.11,0.4442,4219.90244,18837,4935.7084418
2018-02-14T06:51:00+00:00,Out,0.03782,0.03775,0.0377,18837,710.1549,1.4203,4928.63703,0,4928.6370320000005
2018-02-14T07:39:00+00:00,In,0.03778,0.03776,0.0382,12902,492.8564,0.9857,4434.79492,12902,4927.6513192
2018-02-14T08:39:00+00:00,Out,0.03795,0.03786,0.0378,12902,487.6956,0.9754,4921.51513,0,4921.515128000001
2018-02-14T10:51:00+00:00,In,0.03758,0.03742,0.0379,12985,492.1315,0.9843,4428.39937,12985,4920.5308650000015
2018-02-14T10:57:00+00:00,In,0.03763,0.03745,0.0379,5842,221.4118,0.4428,4206.54474,18827,4920.088041400001
2018-02-14T11:21:00+00:00,In,0.03792,0.0376,0.0382,5505,210.291,0.4206,3995.83316,24332,4925.315559400001
2018-02-14T11:27:00+00:00,In,0.03814,0.03768,0.0395,5058,199.791,0.3996,3795.64258,29390,4956.547577400001
2018-02-14T11:33:00+00:00,In,0.03848,0.03783,0.0401,4732,189.7532,0.3795,3605.50987,34122,4973.802071
2018-02-14T11:39:00+00:00,In,0.03898,0.03803,0.0411,4386,180.2646,0.3605,3424.88474,38508,5007.5635418
2018-02-14T11:45:00+00:00,In,0.03946,0.03824,0.0407,4207,171.2249,0.3424,3253.31739,42715,4991.817892000001
2018-02-14T11:51:00+00:00,In,0.03994,0.03845,0.041,3967,162.647,0.3253,3090.3451,46682,5004.307098
2018-02-14T11:57:00+00:00,In,0.04041,0.03865,0.0408,3787,154.5096,0.309,2935.52648,50469,4994.661678800001
2018-02-14T12:03:00+00:00,In,0.04076,0.03884,0.041,3579,146.739,0.2935,2788.494,54048,5004.4620008
2018-02-14T12:15:00+00:00,In,0.04088,0.03919,0.0414,3367,139.3938,0.2788,2648.82141,57415,5025.8024132
2018-02-14T12:21:00+00:00,In,0.04092,0.0394,0.0413,3206,132.4078,0.2648,2516.1488,60621,5019.7960976
2018-02-14T12:27:00+00:00,In,0.04102,0.03962,0.0415,3031,125.7865,0.2516,2390.11072,63652,5031.6687246
2018-02-14T13:03:00+00:00,Out,0.04096,0.04064,0.0406,63652,2584.2712,5.1685,4969.21338,0,4969.2133822
2018-02-14T13:21:00+00:00,In,0.04103,0.04102,0.0419,11859,496.8921,0.9938,4471.3275,11859,4968.219598
2018-02-14T13:27:00+00:00,In,0.04114,0.04106,0.0415,5387,223.5605,0.4471,4247.31988,17246,4963.028877
2018-02-14T13:57:00+00:00,Out,0.04126,0.04114,0.041,17246,707.086,1.4142,4952.99171,0,4952.991705
2018-02-14T16:03:00+00:00,In,0.0405,0.04007,0.0407,12169,495.2783,0.9906,4456.72285,12169,4952.001148400001
2018-02-14T16:21:00+00:00,In,0.04048,0.04017,0.0408,5461,222.8088,0.4456,4233.46843,17630,4952.772430800001
2018-02-14T16:39:00+00:00,Out,0.04038,0.04024,0.0402,17630,708.726,1.4175,4940.77698,0,4940.7769788000005
2018-02-14T19:09:00+00:00,In,0.04006,0.04001,0.0403,12259,494.0377,0.9881,4445.7512,12259,4939.7889034
2018-02-14T19:15:00+00:00,In,0.04008,0.04003,0.0403,5515,222.2545,0.4445,4223.05219,17774,4939.3443944
2018-02-14T19:27:00+00:00,Out,0.04009,0.04004,0.0399,17774,709.1826,1.4184,4930.81643,0,4930.8164292
2018-02-14T22:33:00+00:00,In,0.04007,0.0399,0.0404,12204,493.0416,0.9861,4436.78875,12204,4929.830346
2018-02-14T22:39:00+00:00,In,0.04014,0.03992,0.0404,5491,221.8364,0.4437,4214.50867,17695,4929.3866732
2018-02-14T22:45:00+00:00,In,0.04019,0.03995,0.0404,5215,210.686,0.4214,4003.4013,22910,4928.9653012
2018-02-14T22:51:00+00:00,In,0.04023,0.03997,0.0405,4942,200.151,0.4003,3802.85,27852,4930.8559992
2018-02-14T22:57:00+00:00,In,0.04032,0.04001,0.0406,4683,190.1298,0.3803,3612.33994,32535,4933.260939600001
2018-02-14T23:39:00+00:00,In,0.0405,0.04031,0.0407,4437,180.5859,0.3612,3431.39287,36972,4936.1532678
2018-02-14T23:45:00+00:00,In,0.04058,0.04038,0.0411,4174,171.5514,0.3431,3259.49837,41146,4950.598965
2018-02-14T23:51:00+00:00,In,0.0407,0.04044,0.0412,3955,162.946,0.3259,3096.22647,45101,4954.387673
2018-02-14T23:57:00+00:00,In,0.0408,0.04051,0.0411,3766,154.7826,0.3096,2941.13431,48867,4949.5680078
2018-02-15T00:33:00+00:00,Out,0.04079,0.0407,0.0404,48867,1974.2268,3.9485,4911.41265,0,4911.412654199999
2018-02-15T02:27:00+00:00,In,0.04006,0.04001,0.0404,12156,491.1024,0.9822,4419.32805,12156,4910.430449399999
2018-02-15T02:33:00+00:00,In,0.04019,0.04003,0.0406,5442,220.9452,0.4419,4197.94096,17598,4912.419758999999
2018-02-15T02:39:00+00:00,In,0.04032,0.04007,0.0407,5157,209.8899,0.4198,3987.63128,22755,4913.7597792
2018-02-15T02:45:00+00:00,In,0.04047,0.04012,0.0409,4874,199.3466,0.3987,3787.88599,27629,4917.912085999999
2018-02-15T02:51:00+00:00,In,0.04064,0.04017,0.0411,4608,189.3888,0.3788,3598.11841,32237,4923.059108399999
2018-02-15T02:57:00+00:00,In,0.04074,0.04024,0.0411,4377,179.8947,0.3598,3417.86392,36614,4922.699318999999
2018-02-15T03:03:00+00:00,In,0.04084,0.0403,0.0411,4157,170.8527,0.3417,3246.66951,40771,4922.357613599999
2018-02-15T03:21:00+00:00,In,0.04107,0.04048,0.0414,3921,162.3294,0.3247,3084.01545,44692,4934.264254799999
2018-02-15T04:39:00+00:00,In,0.04123,0.04115,0.0417,3697,154.1649,0.3083,2929.54222,48389,4947.363525
2018-02-15T04:45:00+00:00,In,0.0413,0.04118,0.0416,3521,146.4736,0.2929,2782.77568,51910,4942.2316777999995
2018-02-15T04:51:00+00:00,In,0.04137,0.04121,0.0416,3344,139.1104,0.2782,2643.38706,55254,4941.953457
2018-02-15T05:09:00+00:00,Out,0.04147,0.04126,0.0412,55254,2276.4648,4.5529,4915.29893,0,4915.2989274
2018-02-15T07:15:00+00:00,In,0.04108,0.04102,0.0413,11901,491.5113,0.983,4422.8046,11901,4914.3159048
2018-02-15T07:21:00+00:00,In,0.04112,0.04105,0.0414,5341,221.1174,0.4422,4201.24497,17242,4915.06377
2018-02-15T08:03:00+00:00,In,0.04139,0.04121,0.0416,5049,210.0384,0.4201,3990.78649,22291,4918.0920932
2018-02-15T08:27:00+00:00,Out,0.04143,0.04128,0.0412,22291,918.3892,1.8368,4907.33891,0,4907.3389148
2018-02-15T09:15:00+00:00,In,0.04145,0.04141,0.0417,11768,490.7256,0.9815,4415.63186,11768,4906.357463599999
2018-02-15T09:51:00+00:00,Out,0.04152,0.04145,0.0412,11768,484.8416,0.9697,4899.50378,0,4899.503780399999
2018-02-15T12:45:00+00:00,In,0.0395,0.03948,0.0399,12279,489.9321,0.9799,4408.59182,12279,4898.5239162
2018-02-15T12:51:00+00:00,In,0.03959,0.03949,0.0399,5524,220.4076,0.4408,4187.7434,17803,4898.083101
2018-02-15T13:27:00+00:00,In,0.03986,0.03954,0.0402,5208,209.3616,0.4187,3977.96308,23011,4903.0052778
2018-02-15T14:09:00+00:00,In,0.04002,0.03986,0.0403,4935,198.8805,0.3978,3778.68482,27946,4904.908616799999
2018-02-15T14:21:00+00:00,In,0.04009,0.03995,0.0403,4688,188.9264,0.3779,3589.38056,32634,4904.530763999999
2018-02-15T14:33:00+00:00,In,0.04024,0.04002,0.0405,4431,179.4555,0.3589,3409.56615,37065,4910.6986529999995
2018-02-15T14:39:00+00:00,In,0.04029,0.04005,0.0405,4209,170.4645,0.3409,3238.76072,41274,4910.3577239999995
2018-02-15T15:03:00+00:00,In,0.04044,0.04019,0.0408,3969,161.9352,0.3239,3076.50165,45243,4922.4160536
2018-02-15T15:51:00+00:00,Out,0.04061,0.04046,0.0404,45243,1827.8172,3.6556,4900.66322,0,4900.6632192
2018-02-15T17:21:00+00:00,In,0.04048,0.04045,0.0409,11982,490.0638,0.9801,4409.61929,11982,4899.6830916
2018-02-15T17:27:00+00:00,In,0.04058,0.04046,0.041,5377,220.457,0.4409,4188.72138,17359,4900.4403776
2018-02-15T17:33:00+00:00,In,0.04069,0.04048,0.041,5108,209.428,0.4189,3978.87452,22467,4900.0215216
2018-02-15T18:15:00+00:00,In,0.04096,0.0407,0.0412,4828,198.9136,0.3978,3779.56309,27295,4904.1170944000005
2018-02-15T18:45:00+00:00,Out,0.04116,0.04092,0.0409,27295,1116.3655,2.2327,4893.69586,0,4893.6958634
2018-02-15T20:21:00+00:00,In,0.04098,0.0409,0.0412,11877,489.3324,0.9787,4403.3848,11877,4892.7171986
2018-02-15T20:27:00+00:00,Out,0.04095,0.04088,0.0408,11877,484.5816,0.9692,4886.99724,0,4886.9972354
2018-02-15T22:57:00+00:00,In,0.04073,0.04064,0.041,11919,488.679,0.9774,4397.34088,11919,4886.0198774
2018-02-15T23:21:00+00:00,In,0.04109,0.04075,0.0414,5310,219.834,0.4397,4177.06721,17229,4890.3478094
2018-02-16T00:39:00+00:00,Out,0.04129,0.04122,0.0412,17229,709.8348,1.4197,4885.48234,0,4885.4823398
2018-02-16T00:45:00+00:00,In,0.04136,0.04125,0.0416,11743,488.5088,0.977,4395.99652,11743,4884.5053222
2018-02-16T00:51:00+00:00,In,0.04142,0.04129,0.0417,5270,219.759,0.4395,4175.798,17013,4885.2401042
2018-02-16T00:57:00+00:00,In,0.04156,0.04135,0.0423,4935,208.7505,0.4175,3966.63,21948,4895.0304032
2018-02-16T01:03:00+00:00,In,0.04183,0.04146,0.0433,4580,198.314,0.3966,3767.91938,26528,4916.5817752
2018-02-16T01:09:00+00:00,In,0.04216,0.04157,0.0433,4350,188.355,0.3767,3579.18767,30878,4916.2050652
2018-02-16T01:15:00+00:00,In,0.04249,0.04169,0.0434,4123,178.9382,0.3579,3399.89159,35001,4918.9349888
2018-02-16T02:03:00+00:00,In,0.04287,0.0424,0.0433,3925,169.9525,0.3399,3229.59918,38926,4915.0949838
2018-02-16T02:09:00+00:00,In,0.04299,0.04252,0.0433,3729,161.4657,0.3229,3067.81055,42655,4914.7720524
2018-02-16T02:27:00+00:00,Out,0.04296,0.04277,0.0427,42655,1821.3685,3.6427,4885.53632,0,4885.536315400001
2018-02-16T08:51:00+00:00,In,0.04067,0.04061,0.0409,11945,488.5505,0.9771,4396.00871,11945,4884.559214400001
2018-02-16T09:27:00+00:00,In,0.04089,0.04064,0.0411,5347,219.7617,0.4395,4175.80749,17292,4886.508691000001
2018-02-16T09:33:00+00:00,In,0.0409,0.04067,0.0412,5067,208.7604,0.4175,3966.62957,22359,4887.820370200001
2018-02-16T10:09:00+00:00,Out,0.04097,0.04086,0.0407,22359,910.0113,1.82,4874.82085,0,4874.820847600001
2018-02-16T12:03:00+00:00,In,0.04038,0.04031,0.0409,11918,487.4462,0.9749,4386.39976,11918,4873.845955200001
2018-02-16T12:09:00+00:00,In,0.04055,0.04034,0.0409,5362,219.3058,0.4386,4166.65534,17280,4873.407343600002
2018-02-16T12:15:00+00:00,In,0.04064,0.04039,0.0409,5093,208.3037,0.4166,3957.93504,22373,4872.990736200001
2018-02-16T12:57:00+00:00,In,0.04097,0.04064,0.0412,4803,197.8836,0.3958,3759.65567,27176,4879.306869000002
2018-02-16T13:09:00+00:00,In,0.04106,0.04075,0.0414,4540,187.956,0.3759,3571.32376,31716,4884.366157000001
2018-02-16T13:15:00+00:00,In,0.04113,0.04082,0.0414,4313,178.5582,0.3571,3392.40844,36029,4884.009040600002
2018-02-16T13:21:00+00:00,In,0.04125,0.04091,0.0416,4077,169.6032,0.3392,3222.46603,40106,4890.8756342000015
2018-02-16T13:27:00+00:00,In,0.04135,0.04098,0.0417,3863,161.0871,0.3222,3061.05676,43969,4894.5640600000015
2018-02-16T14:27:00+00:00,In,0.04142,0.04138,0.0421,3635,153.0335,0.3061,2907.71719,47604,4911.845593000002
2018-02-16T14:33:00+00:00,In,0.04151,0.04143,0.0419,3469,145.3511,0.2907,2762.07539,51073,4902.034090800002
2018-02-16T14:39:00+00:00,In,0.04169,0.04152,0.0428,3226,138.0728,0.2761,2623.72645,54299,4947.723645200002
2018-02-16T14:45:00+00:00,In,0.04196,0.04163,0.0429,3057,131.1453,0.2623,2492.31885,57356,4952.891254600002
2018-02-16T14:51:00+00:00,In,0.04224,0.04174,0.0433,2877,124.5741,0.2491,2367.49561,60233,4975.584506400002
2018-02-16T14:57:00+00:00,In,0.04251,0.04184,0.043,2752,118.336,0.2367,2248.92293,62985,4957.277934400002
2018-02-16T15:09:00+00:00,In,0.0429,0.042,0.0432,2602,112.4064,0.2248,2136.29172,65587,4969.650121600002
2018-02-16T16:09:00+00:00,Out,0.04286,0.04276,0.0427,65587,2800.5649,5.6011,4931.25549,0,4931.255491800002
2018-02-16T19:57:00+00:00,In,0.04232,0.04223,0.0426,11575,493.095,0.9862,4437.1743,11575,4930.269301800003
2018-02-16T20:03:00+00:00,In,0.04237,0.04226,0.0426,5207,221.8182,0.4436,4214.91247,16782,4929.825665400002
2018-02-16T21:33:00+00:00,Out,0.0427,0.04263,0.0426,16782,714.9132,1.4298,4928.39584,0,4928.3958390000025
2018-02-16T22:39:00+00:00,In,0.04272,0.04268,0.043,11461,492.823,0.9856,4434.58719,11461,4927.410193000003
2018-02-16T22:45:00+00:00,In,0.04278,0.0427,0.043,5156,221.708,0.4434,4212.43578,16617,4926.966777000003
2018-02-16T22:51:00+00:00,In,0.04287,0.04272,0.0431,4886,210.5866,0.4212,4001.428,21503,4928.2073038000035
2018-02-16T22:57:00+00:00,In,0.04298,0.04276,0.0433,4620,200.046,0.4001,3800.98191,26123,4932.107811800003
2018-02-16T23:09:00+00:00,In,0.04317,0.04283,0.0435,4368,190.008,0.38,3610.5939,30491,4936.952395800003
2018-02-16T23:15:00+00:00,In,0.04326,0.04287,0.0436,4140,180.504,0.361,3429.72889,34631,4939.640487800003
2018-02-16T23:21:00+00:00,In,0.04337,0.04293,0.0437,3924,171.4788,0.343,3257.90713,38555,4942.760630200004
2018-02-16T23:27:00+00:00,In,0.04349,0.04299,0.0439,3710,162.869,0.3257,3094.71239,42265,4950.145892200004
2018-02-16T23:33:00+00:00,In,0.04366,0.04308,0.0446,3469,154.7174,0.3094,2939.68556,45734,4979.4219574000035
2018-02-16T23:39:00+00:00,In,0.04382,0.04318,0.0444,3310,146.964,0.2939,2792.42763,49044,4969.981229400004
2018-02-17T00:21:00+00:00,In,0.0442,0.04379,0.0445,3137,139.5965,0.2792,2652.55194,52181,4974.606436400003
2018-02-17T00:27:00+00:00,In,0.04428,0.04387,0.0445,2980,132.61,0.2652,2519.67672,55161,4974.341216400004
2018-02-17T00:51:00+00:00,Out,0.04422,0.04407,0.0439,55161,2421.5679,4.8431,4936.40148,0,4936.401480600003
2018-02-17T02:27:00+00:00,In,0.0442,0.04407,0.0446,11068,493.6328,0.9873,4441.78142,11068,4935.414215000003
2018-02-17T02:33:00+00:00,In,0.04428,0.04409,0.0446,4979,222.0634,0.4441,4219.27389,16047,4934.970088200003
2018-02-17T02:39:00+00:00,In,0.04439,0.04414,0.0447,4719,210.9393,0.4219,4007.91271,20766,4936.152909600003
2018-02-17T02:57:00+00:00,Out,0.04445,0.04421,0.044,20766,913.704,1.8274,4919.7893,0,4919.789301600003
2018-02-17T06:09:00+00:00,In,0.04445,0.04445,0.0448,10981,491.9488,0.9839,4426.8566,10981,4918.805404000002
2018-02-17T06:39:00+00:00,In,0.04476,0.04454,0.045,4918,221.31,0.4426,4205.10398,15899,4920.558984000002
2018-02-17T06:45:00+00:00,In,0.04492,0.0446,0.0458,4590,210.222,0.4204,3994.46154,20489,4932.857740000002
2018-02-17T06:51:00+00:00,In,0.04513,0.04468,0.0461,4332,199.7052,0.3994,3794.35693,24821,4938.605029600002
2018-02-17T06:57:00+00:00,In,0.0454,0.04479,0.0467,4062,189.6954,0.3794,3604.28214,28883,4953.118238800002
2018-02-17T07:03:00+00:00,In,0.0457,0.04491,0.0464,3883,180.1712,0.3603,3423.7506,32766,4944.092996400002
2018-02-17T07:57:00+00:00,In,0.04602,0.04568,0.0463,3697,171.1711,0.3423,3252.23715,36463,4940.474054200002
2018-02-17T08:21:00+00:00,In,0.04611,0.04599,0.0466,3489,162.5874,0.3252,3089.32458,39952,4951.087779400002
2018-02-17T08:57:00+00:00,Out,0.04637,0.04614,0.0459,39952,1833.7968,3.6676,4919.45379,0,4919.453785800002
2018-02-17T11:33:00+00:00,In,0.04498,0.04493,0.0455,10811,491.9005,0.9838,4426.56948,10811,4918.469984800002
2018-02-17T11:45:00+00:00,In,0.04515,0.04493,0.0454,4875,221.325,0.4427,4204.80183,15686,4916.9462348000025
2018-02-17T12:03:00+00:00,Out,0.04527,0.04503,0.045,15686,705.87,1.4117,4909.26009,0,4909.260094800003
