时间,交易类型,平均价,当前交易价,交易数量,交易金额,手续费,USDT,COIN,Net_Value
2018-02-13T14:39:00+00:00,In,0.03608,0.03606,0.0364,13736,499.9904,1.0,4499.00962,13736,4999.0000192
2018-02-13T14:51:00+00:00,In,0.03621,0.03607,0.0364,6179,224.9156,0.4498,4273.64419,19915,4998.550188
2018-02-13T15:03:00+00:00,Out,0.0363,0.03608,0.036,19915,716.94,1.4339,4989.15031,0,4989.150308
2018-02-13T16:27:00+00:00,In,0.03627,0.03604,0.0375,13304,498.9,0.9978,4489.25251,13304,4988.152508
2018-02-13T16:57:00+00:00,In,0.03702,0.03623,0.0373,6017,224.4341,0.4489,4264.36954,19321,4985.042839800001
2018-02-13T17:03:00+00:00,In,0.03707,0.03634,0.0378,5640,213.192,0.4264,4050.75116,24961,4994.276955800001
2018-02-13T17:09:00+00:00,In,0.03737,0.03648,0.0385,5260,202.51,0.405,3847.83614,30221,5011.344635800001
2018-02-13T17:15:00+00:00,In,0.03767,0.03661,0.0383,5023,192.3809,0.3848,3655.07047,35244,5004.915674000001
2018-02-13T17:21:00+00:00,In,0.03794,0.03674,0.0382,4784,182.7488,0.3655,3471.95618,40028,5001.025776400001
2018-02-13T17:27:00+00:00,In,0.03806,0.03688,0.0385,4509,173.5965,0.3472,3298.01248,44537,5012.686983400001
2018-02-13T18:03:00+00:00,Out,0.03775,0.03758,0.0375,44537,1670.1375,3.3403,4964.80971,0,4964.809708400001
2018-02-13T23:57:00+00:00,In,0.03666,0.0366,0.0369,13454,496.4526,0.9929,4467.3642,13454,4963.8168032
2018-02-14T00:03:00+00:00,In,0.0367,0.03661,0.0371,6020,223.342,0.4467,4243.57552,19474,4966.060919200001
2018-02-14T00:09:00+00:00,In,0.03678,0.03663,0.037,5734,212.158,0.4243,4030.9932,25208,4963.6892032000005
2018-02-14T00:21:00+00:00,Out,0.03684,0.03663,0.0366,25208,922.6128,1.8452,4951.76078,0,4951.7607776
2018-02-14T00:51:00+00:00,In,0.03694,0.03677,0.0372,13311,495.1692,0.9903,4455.60124,13311,4950.7704392000005
2018-02-14T00:57:00+00:00,In,0.03705,0.03682,0.0373,5972,222.7556,0.4455,4232.40013,19283,4951.656028
2018-02-14T01:03:00+00:00,In,0.03715,0.03687,0.0375,5643,211.6125,0.4232,4020.3644,24926,4955.089403
2018-02-14T01:51:00+00:00,Out,0.03717,0.0371,0.0369,24926,919.7694,1.8395,4938.29426,0,4938.2942642
2018-02-14T03:33:00+00:00,In,0.03718,0.03705,0.0374,13203,493.7922,0.9876,4443.51448,13203,4937.3066798
2018-02-14T04:15:00+00:00,In,0.03731,0.03718,0.0376,5908,222.1408,0.4443,4220.9294,19111,4939.5029982
2018-02-14T04:21:00+00:00,In,0.03741,0.03722,0.0377,5598,211.0446,0.4221,4009.46271,24709,4940.992009
2018-02-14T05:39:00+00:00,In,0.03768,0.03763,0.0379,5289,200.4531,0.4009,3808.6087,29998,4945.5329028
2018-02-14T06:03:00+00:00,Out,0.03776,0.03772,0.0376,29998,1127.9248,2.2558,4934.27765,0,4934.2776532
2018-02-14T06:33:00+00:00,In,0.03776,0.03773,0.038,12984,493.392,0.9868,4439.89887,12984,4933.2908692
2018-02-14T06:51:00+00:00,Out,0.03783,0.03775,0.0377,12984,489.4968,0.979,4928.41668,0,4928.4166756
2018-02-14T07:39:00+00:00,In,0.03781,0.03776,0.0382,12901,492.8182,0.9856,4434.61284,12901,4927.4310392
2018-02-14T08:15:00+00:00,In,0.03801,0.03785,0.0382,5804,221.7128,0.4434,4212.45661,18705,4926.9876136
2018-02-14T08:39:00+00:00,Out,0.03795,0.03786,0.0378,18705,707.049,1.4141,4918.09152,0,4918.0915156
2018-02-14T10:51:00+00:00,In,0.03757,0.03742,0.0379,12976,491.7904,0.9836,4425.31753,12976,4917.1079348
2018-02-14T10:57:00+00:00,In,0.03765,0.03745,0.0379,5838,221.2602,0.4425,4203.61481,18814,4916.6654144
2018-02-14T11:21:00+00:00,In,0.03795,0.0376,0.0382,5502,210.1764,0.4204,3993.01806,24316,4921.8892616
2018-02-14T11:27:00+00:00,In,0.03816,0.03768,0.0395,5054,199.633,0.3993,3792.9858,29370,4953.1007956
2018-02-14T11:33:00+00:00,In,0.03857,0.03783,0.0401,4729,189.6329,0.3793,3602.97363,34099,4970.3435298
2018-02-14T11:39:00+00:00,In,0.03914,0.03803,0.0411,4383,180.1413,0.3603,3422.47205,38482,5004.082247200001
2018-02-14T11:45:00+00:00,In,0.0397,0.03824,0.0407,4204,171.1028,0.3422,3251.02704,42686,4988.3472416
2018-02-14T11:51:00+00:00,In,0.04024,0.03845,0.041,3964,162.524,0.325,3088.17799,46650,5000.827993600001
2018-02-14T12:15:00+00:00,In,0.04085,0.03919,0.0414,3729,154.3806,0.3088,2933.48863,50379,5019.179232400001
2018-02-14T12:21:00+00:00,In,0.04095,0.0394,0.0413,3551,146.6563,0.2933,2786.53902,53930,5013.848019800002
2018-02-14T12:27:00+00:00,In,0.04102,0.03962,0.0415,3357,139.3155,0.2786,2646.94489,57287,5024.355388800001
2018-02-14T13:03:00+00:00,Out,0.04093,0.04064,0.0406,57287,2325.8522,4.6517,4968.14538,0,4968.145384400001
2018-02-14T13:21:00+00:00,In,0.04104,0.04102,0.0419,11857,496.8083,0.9936,4470.34347,11857,4967.1517678
2018-02-14T13:27:00+00:00,In,0.04119,0.04106,0.0415,5385,223.4775,0.447,4246.41901,17242,4961.9620128
2018-02-14T13:57:00+00:00,Out,0.04117,0.04114,0.041,17242,706.922,1.4138,4951.92717,0,4951.9271688
2018-02-14T15:39:00+00:00,In,0.04024,0.04016,0.0408,12137,495.1896,0.9904,4455.74719,12137,4950.936789599999
2018-02-14T16:21:00+00:00,In,0.04051,0.04017,0.0408,5460,222.768,0.4455,4232.53365,17597,4950.491253599999
2018-02-14T16:39:00+00:00,Out,0.04037,0.04024,0.0402,17597,707.3994,1.4148,4938.51825,0,4938.518254799999
2018-02-14T19:09:00+00:00,In,0.04004,0.04001,0.0403,12254,493.8362,0.9877,4443.69438,12254,4937.530582399999
2018-02-14T19:15:00+00:00,In,0.04009,0.04003,0.0403,5513,222.1739,0.4443,4221.07613,17767,4937.086234599999
2018-02-14T19:27:00+00:00,Out,0.04012,0.04004,0.0399,17767,708.9033,1.4178,4928.56163,0,4928.5616279999995
2018-02-14T22:33:00+00:00,In,0.04009,0.0399,0.0404,12199,492.8396,0.9857,4434.73635,12199,4927.575948799999
2018-02-14T22:39:00+00:00,In,0.04015,0.03992,0.0404,5488,221.7152,0.4434,4212.57772,17687,4927.132518399999
2018-02-14T22:45:00+00:00,In,0.0402,0.03995,0.0404,5213,210.6052,0.4212,4001.55131,22900,4926.711307999999
2018-02-14T22:51:00+00:00,In,0.04026,0.03997,0.0405,4940,200.07,0.4001,3801.08117,27840,4928.601167999999
2018-02-14T22:57:00+00:00,In,0.04037,0.04001,0.0406,4681,190.0486,0.3801,3610.65247,32521,4931.005070799999
2018-02-14T23:39:00+00:00,In,0.04049,0.04031,0.0407,4435,180.5045,0.361,3429.78696,36956,4933.896161799999
2018-02-14T23:45:00+00:00,In,0.04061,0.04038,0.0411,4172,171.4692,0.3429,3257.97482,41128,4948.335623399998
2018-02-14T23:51:00+00:00,In,0.04071,0.04044,0.0412,3953,162.8636,0.3257,3094.7855,45081,4952.122696199999
2018-02-14T23:57:00+00:00,In,0.04087,0.04051,0.0411,3764,154.7004,0.3094,2939.7757,48845,4947.305195399999
2018-02-15T00:33:00+00:00,Out,0.04075,0.0407,0.0404,48845,1973.338,3.9467,4909.16702,0,4909.167019399999
2018-02-15T02:27:00+00:00,In,0.04011,0.04001,0.0404,12151,490.9004,0.9818,4417.28482,12151,4908.1852186
2018-02-15T02:33:00+00:00,In,0.04024,0.04003,0.0406,5440,220.864,0.4417,4195.97909,17591,4910.173690599999
2018-02-15T02:39:00+00:00,In,0.04039,0.04007,0.0407,5154,209.7678,0.4195,3985.79175,22745,4911.513254999999
2018-02-15T02:45:00+00:00,In,0.04055,0.04012,0.0409,4872,199.2648,0.3985,3786.12843,27617,4915.663725399999
2018-02-15T02:51:00+00:00,In,0.04068,0.04017,0.0411,4605,189.2655,0.3785,3596.48439,32222,4920.8085943999995
2018-02-15T02:57:00+00:00,In,0.04079,0.04024,0.0411,4375,179.8125,0.3596,3416.31227,36597,4920.4489693999985
2018-02-15T03:03:00+00:00,In,0.04089,0.0403,0.0411,4156,170.8116,0.3416,3245.15905,40753,4920.107346199999
2018-02-15T03:21:00+00:00,In,0.04108,0.04048,0.0414,3919,162.2466,0.3245,3082.58795,44672,4932.008752999998
2018-02-15T04:39:00+00:00,In,0.04124,0.04115,0.0417,3696,154.1232,0.3082,2928.15651,48368,4945.102106599999
2018-02-15T04:45:00+00:00,In,0.04132,0.04118,0.0416,3519,146.3904,0.2928,2781.47333,51887,4939.972525799998
2018-02-15T05:09:00+00:00,Out,0.04148,0.04126,0.0412,51887,2137.7444,4.2755,4914.94224,0,4914.942236999999
2018-02-15T07:15:00+00:00,In,0.04107,0.04102,0.0413,11900,491.47,0.9829,4422.4893,11900,4913.959296999999
2018-02-15T07:21:00+00:00,In,0.04113,0.04105,0.0414,5341,221.1174,0.4422,4200.92966,17241,4914.707062199999
2018-02-15T08:27:00+00:00,Out,0.04143,0.04128,0.0412,17241,710.3292,1.4207,4909.8382,0,4909.838203799999
2018-02-15T09:15:00+00:00,In,0.04146,0.04141,0.0417,11774,490.9758,0.982,4417.88045,11774,4908.856252199999
2018-02-15T09:51:00+00:00,Out,0.0415,0.04145,0.0412,11774,485.0888,0.9702,4901.99907,0,4901.999074599999
2018-02-15T12:45:00+00:00,In,0.03953,0.03948,0.0399,12285,490.1715,0.9803,4410.84723,12285,4901.0187316
2018-02-15T12:51:00+00:00,In,0.03963,0.03949,0.0399,5527,220.5273,0.4411,4189.87888,17812,4900.577677
2018-02-15T13:27:00+00:00,In,0.03986,0.03954,0.0402,5211,209.4822,0.419,3979.97771,23023,4905.5023126
2018-02-15T14:09:00+00:00,In,0.04002,0.03986,0.0403,4937,198.9611,0.3979,3780.61869,27960,4907.406690399999
2018-02-15T14:33:00+00:00,In,0.04026,0.04002,0.0405,4667,189.0135,0.378,3591.22716,32627,4912.6206634
2018-02-15T15:03:00+00:00,In,0.04044,0.04019,0.0408,4401,179.5608,0.3591,3411.30724,37028,4922.0496418
2018-02-15T15:51:00+00:00,Out,0.04063,0.04046,0.0404,37028,1495.9312,2.9919,4904.24658,0,4904.2465794
2018-02-15T17:21:00+00:00,In,0.04051,0.04045,0.0409,11990,490.391,0.9808,4412.8748,11990,4903.265797399999
2018-02-15T17:27:00+00:00,In,0.04062,0.04046,0.041,5381,220.621,0.4412,4191.81256,17371,4904.0235554
2018-02-15T17:33:00+00:00,In,0.04072,0.04048,0.041,5111,209.551,0.4191,3981.84245,22482,4903.604453399999
2018-02-15T18:15:00+00:00,In,0.04097,0.0407,0.0412,4832,199.0784,0.3982,3782.3659,27314,4907.702696599999
2018-02-15T18:45:00+00:00,Out,0.04117,0.04092,0.0409,27314,1117.1426,2.2343,4897.27421,0,4897.274211399999
2018-02-15T20:21:00+00:00,In,0.04098,0.0409,0.0412,11886,489.7032,0.9794,4406.59161,11886,4896.2948049999995
2018-02-15T20:27:00+00:00,Out,0.04095,0.04088,0.0408,11886,484.9488,0.9699,4890.57051,0,4890.5705074
2018-02-15T22:57:00+00:00,In,0.04077,0.04064,0.041,11928,489.048,0.9781,4400.54441,11928,4889.5924114
2018-02-15T23:21:00+00:00,In,0.04111,0.04075,0.0414,5314,219.9996,0.44,4180.10481,17242,4893.9236122
2018-02-16T00:39:00+00:00,Out,0.04132,0.04122,0.0412,17242,710.3704,1.4207,4889.05447,0,4889.054471400001
2018-02-16T00:45:00+00:00,In,0.04136,0.04125,0.0416,11752,488.8832,0.9778,4399.19351,11752,4888.076705000001
2018-02-16T00:51:00+00:00,In,0.04144,0.04129,0.0417,5274,219.9258,0.4399,4178.82785,17026,4888.812053400001
2018-02-16T00:57:00+00:00,In,0.0416,0.04135,0.0423,4939,208.9197,0.4178,3969.49031,21965,4898.609814000001
2018-02-16T01:03:00+00:00,In,0.0419,0.04146,0.0433,4583,198.4439,0.3969,3770.64953,26548,4920.177926200001
2018-02-16T01:09:00+00:00,In,0.04228,0.04157,0.0433,4354,188.5282,0.3771,3581.74427,30902,4919.800869800001
2018-02-16T01:15:00+00:00,In,0.04266,0.04169,0.0434,4126,179.0684,0.3581,3402.31773,35028,4922.532933000001
2018-02-16T02:03:00+00:00,In,0.0429,0.0424,0.0433,3928,170.0824,0.3402,3231.89517,38956,4918.689968200001
2018-02-16T02:09:00+00:00,In,0.04302,0.04252,0.0433,3731,161.5523,0.3231,3070.01976,42687,4918.366863600001
2018-02-16T02:27:00+00:00,Out,0.04299,0.04277,0.0427,42687,1822.7349,3.6455,4889.10919,0,4889.109193800001
2018-02-16T05:45:00+00:00,In,0.04162,0.04158,0.042,11640,488.88,0.9778,4399.25143,11640,4888.131433800001
2018-02-16T06:21:00+00:00,Out,0.04165,0.04151,0.0415,11640,483.06,0.9661,4881.34531,0,4881.345313800001
2018-02-16T08:51:00+00:00,In,0.04068,0.04061,0.0409,11934,488.1006,0.9762,4392.26851,11934,4880.369112600001
2018-02-16T09:27:00+00:00,In,0.04088,0.04064,0.0411,5343,219.5973,0.4392,4172.23202,17277,4882.316718000002
2018-02-16T09:33:00+00:00,In,0.0409,0.04067,0.0412,5063,208.5956,0.4172,3963.21923,22340,4883.627226800002
2018-02-16T10:09:00+00:00,Out,0.04094,0.04086,0.0407,22340,909.238,1.8185,4870.63875,0,4870.638750800002
2018-02-16T11:57:00+00:00,In,0.04031,0.0403,0.0407,11967,487.0569,0.9741,4382.60774,11967,4869.664637000002
2018-02-16T12:03:00+00:00,In,0.04046,0.04031,0.0409,5357,219.1013,0.4382,4163.06823,17324,4871.619834400002
