时间,交易类型,平均价,当前交易价,交易数量,交易金额,手续费,USDT,COIN,Net_Value
2018-02-13T14:33:00+00:00,In,0.03604,0.03604,0.0363,13774,499.9962,1.0,4499.00381,13774,4999.0000076
2018-02-13T14:39:00+00:00,In,0.03612,0.03604,0.0364,6179,224.9156,0.4498,4273.63838,19953,4999.9275764
2018-02-13T15:03:00+00:00,Out,0.03631,0.03607,0.036,19953,718.308,1.4366,4990.50976,0,4990.5097604
2018-02-13T16:21:00+00:00,In,0.03606,0.03592,0.0372,13415,499.038,0.9981,4490.47368,13415,4989.5116843999995
2018-02-13T16:27:00+00:00,In,0.03655,0.03599,0.0375,5987,224.5125,0.449,4265.51216,19402,4993.0871594
2018-02-13T16:51:00+00:00,In,0.03682,0.03618,0.0371,5748,213.2508,0.4265,4051.83486,25150,4984.8998578
2018-02-13T16:57:00+00:00,In,0.03695,0.03629,0.0373,5431,202.5763,0.4052,3848.85341,30581,4989.5247051999995
2018-02-13T17:03:00+00:00,In,0.0372,0.03641,0.0378,5091,192.4398,0.3849,3656.02873,35672,5004.4303256
2018-02-13T17:09:00+00:00,In,0.03766,0.03658,0.0385,4748,182.798,0.3656,3472.86513,40420,5029.035129600001
2018-02-13T17:15:00+00:00,In,0.03799,0.03674,0.0383,4533,173.6139,0.3472,3298.904,44953,5020.6039018
2018-02-13T17:27:00+00:00,In,0.03823,0.03706,0.0385,4284,164.934,0.3299,3133.64013,49237,5029.2646337999995
2018-02-13T17:57:00+00:00,Out,0.03776,0.03765,0.0376,49237,1851.3112,3.7026,4981.24871,0,4981.2487114
2018-02-13T20:27:00+00:00,In,0.03747,0.03742,0.0377,13212,498.0924,0.9962,4482.16013,13212,4980.252526599999
2018-02-13T20:39:00+00:00,Out,0.03757,0.03742,0.0374,13212,494.1288,0.9883,4975.30067,0,4975.300669
2018-02-13T23:57:00+00:00,In,0.03665,0.03658,0.0369,13483,497.5227,0.995,4476.78292,13483,4974.3056236
2018-02-14T00:03:00+00:00,In,0.03676,0.03659,0.0371,6033,223.8243,0.4476,4252.51098,19516,4976.554575
2018-02-14T00:21:00+00:00,Out,0.03688,0.03665,0.0366,19516,714.2856,1.4286,4965.368,0,4965.3680038
2018-02-14T00:51:00+00:00,In,0.037,0.03681,0.0372,13347,496.5084,0.993,4467.86659,13347,4964.374987
2018-02-14T00:57:00+00:00,In,0.0371,0.03686,0.0373,5989,223.3897,0.4468,4244.03011,19336,4965.2629076
2018-02-14T01:03:00+00:00,In,0.03724,0.0369,0.0375,5658,212.175,0.4243,4031.43076,24994,4968.705757600001
2018-02-14T01:51:00+00:00,Out,0.03713,0.03713,0.0369,24994,922.2786,1.8446,4951.8648,0,4951.864800400001
2018-02-14T03:33:00+00:00,In,0.03718,0.03706,0.0374,13240,495.176,0.9904,4455.69845,13240,4950.874448400001
2018-02-14T03:51:00+00:00,Out,0.03722,0.03711,0.0371,13240,491.204,0.9824,4945.92004,0,4945.9200404
2018-02-14T04:15:00+00:00,In,0.03738,0.03723,0.0376,13154,494.5904,0.9892,4450.34046,13154,4944.9308596
2018-02-14T04:21:00+00:00,In,0.0375,0.03727,0.0377,5902,222.5054,0.445,4227.39005,19056,4945.8012487999995
2018-02-14T05:33:00+00:00,Out,0.03766,0.03766,0.0376,19056,716.5056,1.433,4942.46264,0,4942.4626376
2018-02-14T06:33:00+00:00,In,0.0378,0.03774,0.038,13006,494.228,0.9885,4447.24618,13006,4941.4741816
2018-02-14T06:51:00+00:00,Out,0.03785,0.03776,0.0377,13006,490.3262,0.9807,4936.59173,0,4936.5917291999995
2018-02-14T07:39:00+00:00,In,0.03788,0.03777,0.0382,12923,493.6586,0.9873,4441.94581,12923,4935.604412
2018-02-14T08:39:00+00:00,Out,0.03792,0.03791,0.0378,12923,488.4894,0.977,4929.45823,0,4929.4582332
2018-02-14T10:45:00+00:00,In,0.03751,0.0374,0.0377,13075,492.9275,0.9859,4435.54488,13075,4928.4723782
2018-02-14T10:51:00+00:00,In,0.0376,0.03743,0.0379,5851,221.7529,0.4435,4213.34847,18926,4930.6438724
2018-02-14T11:21:00+00:00,In,0.03795,0.03761,0.0382,5514,210.6348,0.4213,4002.2924,24440,4935.9004028
2018-02-14T11:27:00+00:00,In,0.03829,0.03773,0.0395,5066,200.107,0.4002,3801.78519,29506,4967.2721888
2018-02-14T11:33:00+00:00,In,0.03883,0.03792,0.0401,4740,190.074,0.3801,3611.33104,34246,4984.5956408
2018-02-14T11:39:00+00:00,In,0.0396,0.03816,0.0411,4393,180.5523,0.3611,3430.41764,38639,5018.480536200001
2018-02-14T11:45:00+00:00,In,0.0403,0.03838,0.0407,4214,171.5098,0.343,3258.56482,42853,5002.6819166000005
2018-02-14T11:51:00+00:00,In,0.04076,0.03859,0.041,3973,162.893,0.3258,3095.34603,46826,5015.2120306
2018-02-14T12:15:00+00:00,In,0.04083,0.03944,0.0414,3738,154.7532,0.3095,2940.28332,50564,5033.6329242
2018-02-14T12:21:00+00:00,In,0.04092,0.03967,0.0413,3559,146.9867,0.294,2793.00265,54123,5028.2825508000005
2018-02-14T12:27:00+00:00,In,0.04104,0.0399,0.0415,3365,139.6475,0.2793,2653.07586,57488,5038.8278558
2018-02-14T12:57:00+00:00,Out,0.04098,0.04085,0.0408,57488,2345.5104,4.691,4993.89524,0,4993.895235
2018-02-14T13:21:00+00:00,In,0.04113,0.04104,0.0419,11918,499.3642,0.9987,4493.53231,11918,4992.8965066
2018-02-14T13:45:00+00:00,Out,0.04128,0.04116,0.0411,11918,489.8298,0.9797,4982.38245,0,4982.382447
2018-02-14T15:33:00+00:00,In,0.04018,0.04005,0.0406,12271,498.2026,0.9964,4483.18344,12271,4981.3860417999995
2018-02-14T15:39:00+00:00,In,0.04039,0.04003,0.0408,5494,224.1552,0.4483,4258.57993,17765,4983.3919313999995
2018-02-14T16:03:00+00:00,In,0.04047,0.04011,0.0407,5231,212.9017,0.4258,4045.25243,22996,4981.189628
2018-02-14T16:21:00+00:00,In,0.04051,0.0402,0.0408,4957,202.2456,0.4045,3842.60234,27953,4983.0847367999995
2018-02-14T16:39:00+00:00,Out,0.04037,0.04033,0.0402,27953,1123.7106,2.2474,4964.06552,0,4964.065515599999
2018-02-14T19:09:00+00:00,In,0.04004,0.04001,0.0403,12317,496.3751,0.9928,4466.69767,12317,4963.072765399999
