time,close,high,low,open,volumefrom,volumeto
1519128840,11498.17,11499.99,11488,11489.95,7.35,84467.45
1519128900,11497,11500,11494.17,11498.17,5.3,60938.15
1519128960,11490.73,11510.17,11488,11497,4.65,53412.38
1519129020,11502.17,11519.99,11482.22,11490.73,7.28,83757.23
1519129080,11486.27,11506.17,11480.08,11502.17,2.51,28855.96
1519129140,11496.99,11497.35,11480.13,11486.27,2.69,30949.12
1519129200,11474.2,11496.99,11474.2,11496.99,9.52,109294.58
1519129260,11472.18,11474.2,11468.17,11474.2,0.4091,4693.74
1519129320,11472.17,11474.95,11470.45,11472.18,1.84,21057.75
1519129380,11483.51,11494.17,11470.45,11472.17,3.09,35511.21
1519129440,11487.63,11490.12,11480,11483.51,2.17,24886.73
1519129500,11489,11491.68,11480,11487.63,3.85,44271.95
1519129560,11478.17,11489,11475,11489,1.16,13296.84
1519129620,11468.17,11478.17,11449.85,11478.17,3.6,41337.11
1519129680,11476.54,11480,11466.17,11468.17,0.7343,8427.7
1519129740,11475,11480.17,11472.52,11476.54,1.9,21785.34
1519129800,11477.9,11480.17,11475,11475,5.12,58797.82
1519129860,11474.17,11480,11468.17,11477.9,2.39,27412.17
1519129920,11468.17,11479.99,11445,11474.17,4.9,56181.33
1519129980,11472.17,11472.18,11466.2,11468.17,1.03,11837.27
1519130040,11469.56,11472.52,11468.17,11472.17,4.23,48556.36
1519130100,11456.18,11469.56,11445,11469.56,5.83,66841.25
1519130160,11466.76,11468.17,11455.14,11456.18,3.73,42723.5
1519130220,11466.17,11474.17,11459.95,11466.76,1.13,12937.49
1519130280,11464.25,11470,11464.17,11466.17,2.52,28861.26
1519130340,11465.01,11474.83,11464.25,11464.25,5.8,66546.84
1519130400,11488.17,11491.61,11465.01,11465.01,5.11,58668
1519130460,11484.25,11491.66,11484,11488.17,3.49,40069.07
1519130520,11465.01,11484.25,11465.01,11484.25,1.86,21406.09
1519130580,11461.44,11470.16,11456.23,11465.01,1.42,16312.87
1519130640,11456.17,11461.44,11450.17,11461.44,1.42,16268.22
1519130700,11459.9,11460.17,11448.17,11456.17,6.01,68878.42
1519130760,11444.17,11459.9,11428.67,11459.9,1.23,14103.72
1519130820,11454.17,11456.11,11440,11444.17,2.62,29933.16
1519130880,11448.17,11456.18,11442.17,11454.17,0.469,5372.69
1519130940,11448.17,11450,11444.17,11448.17,1.19,13578.01
1519131000,11450,11450,11441,11448.17,1.05,12068.72
1519131060,11467.12,11470.16,11444.17,11450,3.55,40648.99
1519131120,11466.17,11475.17,11460.17,11467.12,0.6709,7691.86
1519131180,11460,11474.99,11460,11466.17,1.06,12194.82
1519131240,11446.59,11460,11434.17,11460,2.09,23926.34
1519131300,11440.17,11448.17,11434.17,11446.59,2.52,28876.51
1519131360,11450,11450,11434.19,11440.17,4.49,51395.93
1519131420,11439.95,11450.18,11434.19,11450,1.31,15000.84
1519131480,11439.95,11440,11428.2,11439.95,12.2,139430.89
1519131540,11410,11439.95,11410,11439.95,4.03,46049.31
1519131600,11400.2,11410.17,11400.1,11410,7.1,80909.53
1519131660,11403.17,11440,11399.05,11400.2,4.48,51112.85
1519131720,11439.95,11440,11403.17,11403.17,1.42,16237.81
1519131780,11430,11440,11427.1,11439.95,7.19,82175.69
1519131840,11424.2,11430,11401.02,11430,5.26,60101.52
1519131900,11431.39,11432.17,11400.88,11424.2,10.29,117584.55
1519131960,11414.17,11431.39,11412.17,11431.39,3.94,45011.14
1519132020,11414.62,11416.17,11412.17,11414.17,4.85,55383.02
1519132080,11423.17,11447.3,11400,11414.62,12.91,147337.15
1519132140,11446.17,11450,11423.17,11423.17,1.09,12437.09
1519132200,11428,11463.02,11425.15,11446.17,3.91,44672.63
1519132260,11446.95,11447,11426.17,11428,6.46,73785.1
1519132320,11444.12,11447,11442.1,11446.95,13.01,148882.46
1519132380,11424.08,11444.12,11413.59,11444.12,5.22,59689.94
1519132440,11431.75,11431.75,11420.17,11424.08,4.72,53978.45
1519132500,11431,11432.17,11430.12,11431.75,1.65,18840.5
1519132560,11431,11432.17,11430.99,11431,3.2,36543.59
1519132620,11427.73,11432.2,11414.9,11431,2.5,28628.23
1519132680,11428.17,11432.15,11420.93,11427.73,0.767,8762.66
1519132740,11430.47,11432.33,11422.23,11428.17,1.47,16786.74
1519132800,11468.17,11468.17,11428.17,11430.47,7,80097.89
1519132860,11484.17,11486.81,11462.12,11468.17,2.07,23697.68
1519132920,11498.76,11500,11484.17,11484.17,7.16,82272.44
1519132980,11501.09,11501.09,11496.39,11498.76,2.31,26574.7
1519133040,11509.17,11512.17,11501.09,11501.09,3.9,44881.46
1519133100,11502.17,11514.1,11500.17,11509.17,8.59,98879.44
1519133160,11500.17,11510.17,11490.17,11502.17,7.09,81545.47
1519133220,11500.27,11511.91,11500.17,11500.17,2.45,28245.17
1519133280,11500.52,11504.17,11496.17,11500.27,7.32,84216.78
1519133340,11496.17,11504.12,11496.17,11500.52,8.31,95597.1
1519133400,11500,11500.12,11495,11496.17,3.81,43765.93
1519133460,11497.69,11504.17,11496.42,11500,2.22,25573.21
1519133520,11500,11504.17,11495.15,11497.69,2.75,31619.33
1519133580,11494.94,11500,11475,11500,11.21,128785.33
1519133640,11491,11494.94,11485,11494.94,0.8979,10320.62
1519133700,11477.21,11491,11459.83,11491,4.31,49494.45
1519133760,11479,11479,11477,11477.21,3,34446.79
1519133820,11487,11489,11479,11479,1.27,14614.07
1519133880,11492.97,11493,11485.37,11487,1.01,11658.03
1519133940,11492.97,11493,11490,11492.97,0.7125,8187.6
1519134000,11517.1,11519,11490,11492.97,4.43,50964.33
1519134060,11531,11533,11513,11517.1,4.41,50798.76
1519134120,11530,11535,11525,11531,3.92,45142.56
1519134180,11531,11531,11527,11530,1.83,21099.41
1519134240,11538,11539,11531,11531,5.44,62801.14
1519134300,11543.99,11545.18,11533,11538,20.24,233535.1
1519134360,11549.68,11549.68,11542.23,11543.99,3.81,43946.71
1519134420,11543.99,11549.87,11543.99,11549.68,5.64,65114.73
1519134480,11549.95,11549.95,11542,11543.99,25.06,289253.56
1519134540,11559.95,11560,11543.88,11549.95,4.39,50664.38
1519134600,11559.99,11565,11550.95,11559.95,0.9718,11230.5
1519134660,11565,11569,11558.07,11559.99,5.21,60225.48
1519134720,11569,11569,11562.05,11565,3.25,37623.23
1519134780,11572.17,11572.17,11564.05,11569,4.2,48587.81
1519134840,11570,11572.17,11569,11572.17,10.58,122450.81
1519134900,11570,11572.17,11565,11570,6.45,74587.55
1519134960,11558,11570,11543.88,11570,6.43,74300.96
1519135020,11550,11561,11550,11558,3.36,38881.11
1519135080,11541,11557,11539,11550,3.85,44495.34
1519135140,11525,11541,11521,11541,4.7,54223.37
1519135200,11530,11535,11525,11525,2.83,32626.48
1519135260,11527.68,11530,11526.99,11530,1.78,20480.07
1519135320,11530,11532.95,11505,11527.68,4.8,55320.67
1519135380,11531,11536.95,11530,11530,7.23,83362.64
1519135440,11542.95,11542.95,11530,11531,3.46,39844.69
1519135500,11550.99,11550.99,11542.95,11542.95,1.4,16134.18
1519135560,11548.45,11553,11547,11550.99,1.22,14090.9
1519135620,11545,11554.4,11542.95,11548.45,1.43,16460.8
1519135680,11539,11545,11539,11545,1.24,14256.93
1519135740,11539,11540.73,11539,11539,1.17,13456.12
1519135800,11540.73,11540.78,11539,11539,1.62,18690.5
1519135860,11540.55,11541,11539.93,11540.73,1.07,12363.69
1519135920,11529.88,11540.55,11529,11540.55,3.56,41108.04
1519135980,11525,11529.88,11521,11529.88,5.69,65643.28
1519136040,11509,11525,11505.05,11525,2.99,34407.71
1519136100,11499,11512.84,11483.48,11509,4.43,50974.62
1519136160,11520,11522.86,11497,11499,10.8,124214.61
1519136220,11503,11523,11500,11520,9.08,104451.2
1519136280,11506.9,11510.95,11500,11503,1.82,20971.58
1519136340,11504.95,11510.95,11502.95,11506.9,4.99,57430.01
1519136400,11506.9,11506.95,11501,11504.95,2.16,24852.02
1519136460,11506,11506.9,11502.95,11506.9,1.02,11726.56
1519136520,11490.95,11506,11483,11506,5.36,61632.33
1519136580,11496.95,11500,11490,11490.95,2.29,26299.84
1519136640,11486.95,11499,11480.01,11496.95,4.38,50296.66
1519136700,11463.55,11486.95,11461,11486.95,7.29,83591.5
1519136760,11482.95,11488.55,11461,11463.55,5.26,60395.52
1519136820,11482.95,11484.95,11474.95,11482.95,2.65,30409.11
1519136880,11488,11488.9,11461,11482.95,4.36,49993.49
1519136940,11494.95,11496.95,11484.95,11488,2.07,23728.28
1519137000,11494.95,11498.95,11476.95,11494.95,3.77,43347.82
1519137060,11499.35,11506,11494.95,11494.95,2.79,32091.81
1519137120,11503.1,11506.9,11499.35,11499.35,4.75,54643.13
1519137180,11546.49,11548.95,11502.95,11503.1,3.08,35422.76
1519137240,11528.95,11550,11528.95,11546.49,2.94,33964.49
1519137300,11526.96,11529.61,11508.95,11528.95,2.09,24056.25
1519137360,11536.95,11536.95,11526.96,11526.96,5.46,62902.17
1519137420,11524.95,11536.95,11518.95,11536.95,5.43,62629.7
1519137480,11524.95,11530.95,11520.95,11524.95,1.77,20368.93
1519137540,11534.94,11534.94,11523.95,11524.95,5.39,62162.45
1519137600,11529.32,11535.7,11528.95,11534.94,2.07,23886.94
1519137660,11536.95,11540.95,11529.32,11529.32,0.3946,4552.53
1519137720,11540.95,11540.95,11535.95,11536.95,1.39,16092.29
1519137780,11538.93,11540.95,11536.95,11540.95,1.62,18657.9
1519137840,11535.95,11538.93,11532.95,11538.93,1,11591.66
1519137900,11524.95,11536.95,11497.49,11535.95,1.39,16050.89
1519137960,11528.9,11528.95,11520.95,11524.95,1.46,16806.7
1519138020,11521.3,11528.95,11514.95,11528.9,3.21,36978.06
1519138080,11520,11526.95,11518.95,11521.3,1.95,22467.87
1519138140,11519,11520,11518.95,11520,1.24,14327.93
1519138200,11523,11528.95,11518.95,11519,3.24,37349.26
1519138260,11514.95,11523,11506.43,11523,6.62,76242.85
1519138320,11502.95,11514.95,11492.96,11514.95,2.89,33276.54
1519138380,11496.95,11502.95,11492.95,11502.95,3.56,40884.56
1519138440,11505,11505,11496.95,11496.95,2.78,31954.68
1519138500,11504.95,11505,11501,11505,3.14,36071.02
1519138560,11506.95,11506.95,11500,11504.95,3.81,43884.63
1519138620,11520,11520,11505,11506.95,1.43,16463.33
1519138680,11508.95,11520,11500,11520,7.7,88589.68
1519138740,11518.89,11520,11508.95,11508.95,1.92,22100.08
1519138800,11512.95,11518.91,11512.95,11518.89,3.03,34947.79
1519138860,11470.95,11513.49,11463,11512.95,11.85,136203.4
1519138920,11425.95,11475.95,11424.1,11470.95,8.74,100110.45
1519138980,11433.95,11437.95,11421.95,11425.95,5.53,63243.81
1519139040,11458.95,11460.96,11433.95,11433.95,5.76,65892.63
1519139100,11456.95,11460.88,11455,11458.95,2.39,27379.37
1519139160,11462.95,11464.67,11452.95,11456.95,15,171918.34
1519139220,11458.95,11464.95,11458.95,11462.95,5.24,60024.23
1519139280,11438.95,11459.99,11438.95,11458.95,3.36,38504.19
1519139340,11429.95,11440.95,11429.95,11438.95,8.2,93737.53
1519139400,11423.11,11436.27,11413.95,11429.95,3.26,37214.78
1519139460,11419.95,11423.95,11400,11423.11,7.46,85134.22
1519139520,11422,11425.95,11415,11419.95,4.19,47903.05
1519139580,11425.89,11425.94,11422,11422,1.01,11511.59
1519139640,11417.95,11425.89,11415.95,11425.89,5.93,67759.05
1519139700,11400,11421.95,11392.22,11417.95,6.07,69173.19
1519139760,11400,11411,11392.22,11400,17.83,203223.86
1519139820,11399,11400,11395,11400,5.79,65966.6
1519139880,11420,11420,11398,11399,25.13,286509.34
1519139940,11419,11420,11409,11420,1.46,16721.76
1519140000,11429,11429,11418.48,11419,11.42,130396.06
1519140060,11431.12,11432.95,11427,11429,1.29,14794.19
1519140120,11452,11452,11431.12,11431.12,3.46,39559.02
1519140180,11451,11453,11448.05,11452,5.16,59125.92
1519140240,11457.71,11457.71,11451,11451,0.6331,7251.87
1519140300,11440,11463.44,11440,11457.71,6.21,71121.8
1519140360,11438,11443.28,11419,11440,3.39,38809.94
1519140420,11435.59,11438.95,11433,11438,1.47,16783.88
1519140480,11440,11442,11434,11435.59,2.25,25751.39
1519140540,11443,11445.33,11439,11440,1.34,15338.14
1519140600,11451.2,11473.58,11443,11443,4.21,48293.74
1519140660,11455.25,11469.09,11451.02,11451.2,2.46,28152.58
1519140720,11451.02,11459.39,11451.02,11455.25,1.16,13271.82
1519140780,11444,11453,11444,11451.02,1.86,21332.27
1519140840,11440,11444,11437,11444,3.38,38618.41
1519140900,11467.33,11467.33,11438.5,11440,3.71,42448.76
1519140960,11478.19,11485.25,11466.27,11467.33,2.5,28706.01
1519141020,11474,11481.94,11474,11478.19,1.17,13380.48
1519141080,11460,11474,11458.02,11474,2.51,28793.41
1519141140,11443.3,11460,11441.33,11460,5.55,63578.13
1519141200,11445.33,11445.33,11441.33,11443.3,2.62,29939.34
1519141260,11445.33,11445.95,11441,11445.33,4.57,52245.46
1519141320,11429,11445.33,11429,11445.33,6.08,69570.71
1519141380,11424.76,11431,11422.43,11429,3.1,35366.81
1519141440,11414.95,11424.76,11411,11424.76,4.51,51533.97
1519141500,11425,11427,11414.95,11414.95,2.35,26817.68
1519141560,11425,11430,11425,11425,9.72,111091.96
1519141620,11423.37,11425,11416.42,11425,10.64,121562.02
1519141680,11433,11433,11419.01,11423.37,9.89,113032.05
1519141740,11437,11445.33,11431,11433,2.44,27904.9
1519141800,11431,11438,11431,11437,1.68,19190.27
1519141860,11430.99,11432,11427,11431,2.46,28127.34
1519141920,11430.45,11433,11417.06,11430.99,2.2,25143.66
1519141980,11432,11437,11429,11430.45,3.04,34783.25
1519142040,11438,11438,11432,11432,0.7221,8257.85
1519142100,11438,11440,11435,11438,2.49,28447.14
1519142160,11485.98,11497.94,11438,11438,4.45,51008.74
1519142220,11528.82,11533,11485.97,11485.98,3.25,37463.72
1519142280,11514.89,11533,11500.69,11528.82,4.2,48365.39
1519142340,11519.43,11523.95,11488.35,11514.89,4.27,49174.78
1519142400,11519.37,11519.43,11500.99,11519.43,2.52,29073.02
1519142460,11513.35,11519.37,11510.98,11519.37,9.34,107516.08
1519142520,11510.95,11519.32,11500,11513.35,10.85,124809.62
1519142580,11518,11519.33,11502.82,11510.95,1.92,22102.92
1519142640,11524,11524,11513.09,11518,3,34581.63
1519142700,11528.15,11530,11509.1,11524,4.37,50408.62
1519142760,11530,11533,11528,11528.15,13.97,161071.3
1519142820,11533.91,11535,11530,11530,7.85,90514.61
1519142880,11541.57,11549.94,11530,11533.91,5.52,63695.6
1519142940,11542.34,11545.21,11540.53,11541.57,0.7628,8803.57
1519143000,11550,11550,11540.53,11542.34,3.85,44487.69
1519143060,11549.9,11551.83,11530,11550,22.06,254639
1519143120,11530.04,11549.9,11530,11549.9,2.72,31402.69
1519143180,11549.95,11550,11530,11530.04,6.91,79718.83
1519143240,11548.95,11549.95,11534.91,11549.95,5.42,62628.15
1519143300,11538.36,11548.95,11530.09,11548.95,0.7312,8440.54
1519143360,11554.95,11554.95,11535.37,11538.36,2.06,23804.46
1519143420,11580.02,11583.11,11550,11554.95,16.1,186273.57
1519143480,11599.99,11599.99,11580,11580.02,12.36,143331.01
1519143540,11614.81,11614.81,11599.99,11599.99,6.88,79893.23
1519143600,11638.17,11645.13,11612.52,11614.81,9.69,112683.94
1519143660,11620,11638.17,11620,11638.17,18.69,217278.13
1519143720,11584.06,11620,11570,11620,7.72,89536.96
1519143780,11593.34,11600,11583.34,11584.06,6.64,76898.69
1519143840,11596.74,11600,11593.34,11593.34,1.94,22517.78
1519143900,11598.95,11598.95,11590,11596.74,3.8,44031.84
1519143960,11599.37,11600,11596.14,11598.95,2.31,26740.13
